Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Parsed Price,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Volkswagen,Jetta,1.5L Turbo I4,1498 cc,150 - 228 hp,210 km/h,7.7 sec,"$21,995 ",Petrol,5,250 Nm,21.0,Volkswagen Golf Sportsvan,Volkswagen Passat B8,Volkswagen T-Cross R-Line,Volkswagen Passat,Volkswagen Golf
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,999 cc / 1598 cc,80 - 200 hp,190 km/h,9.5 sec,"$18,000 ",Petrol,5,175 Nm,18.0,Volkswagen Polo Beats,Volkswagen Golf TCR,Volkswagen Golf,GMC Terrain Denali,HYUNDAI Venue
Volkswagen,Arteon,2.0L Turbo I4,1984 cc,150 - 280 hp,250 km/h,5.6 sec,"$46,000 ",Petrol,5,350 Nm,46.0,Volkswagen Arteon 4MOTION,Volkswagen Golf GTI,Volkswagen Arteon 280 TSI,Volkswagen T-Roc,Volkswagen Arteon Shooting Brake
Volkswagen,ID.4,Electric,77 kWh,201 - 302 hp,160 km/h,7.8 sec,"$39,735 ",Electric,5,310 Nm,39.0,Volkswagen ID.4 Pro S,Volkswagen ID.5,Volkswagen ID.3,Volkswagen ID.3 GTX,Volkswagen ID.3 Pro
Volkswagen,Up!,Electric,32.3 kWh,82 hp,160 km/h,13.0 sec,"$15,000 ",Petrol,4,95 Nm,15.0,Volkswagen Up! Cabriolet,Volkswagen Lupo,Volkswagen Scirocco,Volkswagen Up! e-up!,Volkswagen Beetle Dune
Volkswagen,Touareg,3.0L V6 Turbo Diesel / 4.0L V8,2967 cc / 3956 cc,231 - 500 hp,235 km/h,5.9 sec,"$55,000 ","Petrol, Diesel",5,600 Nm,55.0,Volkswagen Golf GTI,Nissan Ariya E-4ORCE,Volkswagen Phaeton,Volkswagen Polo Vivo,Volkswagen Fox
Volkswagen,Scirocco,2.0L Turbo I4,1984 cc,125 - 280 hp,233 km/h,6.0 sec,"$35,000 ",Petrol,4,350 Nm,35.0,Volkswagen Scirocco R,Volkswagen Arteon,Volkswagen Beetle,Volkswagen Scirocco GTS,Volkswagen Golf GTI
Volkswagen,Beetle,2.0L Turbo I4,1984 cc,105 - 210 hp,205 km/h,7.0 sec,"$20,000 ",Petrol,4,240 Nm,20.0,Volkswagen Scirocco,Volkswagen Beetle Final Edition,Volkswagen Scirocco R,Volkswagen Golf R,Volkswagen Arteon 4MOTION
Volkswagen,Amarok,3.0L V6 Turbo Diesel,2967 cc,163 - 258 hp,180 km/h,7.9 sec,"$40,000 ",Diesel,5,550 Nm,40.0,Volkswagen Amarok V6,Volkswagen Amarok V8,Volkswagen Polo TDI,Volkswagen Golf Variant GTD,Volkswagen Passat Alltrack TDI
Volkswagen,T-Roc,2.0L Turbo I4,1984 cc,115 - 300 hp,205 km/h,7.2 sec,"$30,000 ",Petrol,5,320 Nm,30.0,Volkswagen Polo GTI,Volkswagen Arteon,Volkswagen Golf R32,Volkswagen Golf Variant Alltrack,Volkswagen Polo GTI Clubsport
Volkswagen,Sharan,2.0L Turbo I4,1984 cc,150 - 220 hp,200 km/h,9.3 sec,"$33,000 ","Petrol, Diesel",7,280 Nm,33.0,Volkswagen Caddy,Volkswagen Tiguan,Volkswagen Tiguan Allspace,Volkswagen California,Volkswagen Passat B7
Volkswagen,Caddy,1.5L Turbo I4,1498 cc,102 - 150 hp,185 km/h,10.5 sec,"$28,000 ","Petrol, Diesel",7,250 Nm,28.0,Volkswagen Caddy Maxi,Volkswagen Golf Sportsvan,Volkswagen Jetta,Volkswagen Polo BlueMotion,Volkswagen Sharan
Nissan,NV1500,4.0L V6,3954 cc,261 hp,160 km/h,9.5 sec,"$33,000 ",Petrol,12,385 Nm,33.0,Nissan NV2500,Nissan Xterra,Nissan 280ZX,Nissan Pathfinder Armada Platinum,Nissan Bluebird Sylphy
Volkswagen,Taigo,1.5L Turbo I4,1498 cc,95 - 150 hp,183 km/h,10.0 sec,"$24,000 ",Petrol,5,200 Nm,24.0,Mitsubishi Galant Fortis,Volkswagen Jetta,Volkswagen Golf Sportsvan,Volkswagen Golf TGI,Mazda Biante
Volkswagen,California,2.0L Turbo I4,1984 cc,150 - 204 hp,180 km/h,13.0 sec,"$70,000 ",Diesel,7,340 Nm,70.0,Volkswagen Tiguan Allspace,Volkswagen Sharan,Volkswagen Transporter,Volkswagen Sharan Business,Volkswagen Crafter
Volkswagen,ID.3,Electric,58 - 77 kWh,204 hp,160 km/h,7.3 sec,"$35,000 ",Electric,5,310 Nm,35.0,Volkswagen ID.3 Pro,Volkswagen ID.3 GTX,Volkswagen ID.4,Volkswagen ID.4 Pro S,Volkswagen ID.5
Volkswagen,ID. Buzz,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$59,995 ",Electric,7,310 Nm,59.0,Volkswagen ID. Buzz Pro,Volkswagen ID. Buzz Cargo,Volkswagen ID. Buzz Cargo Pro,Volkswagen ID. Buzz Cargo EV,Volkswagen ID.5
Volkswagen,Golf GTI,2.0L Turbo I4,1984 cc,245 hp,250 km/h,5.9 sec,"$31,965 ",Petrol,5,350 Nm,31.0,Volkswagen Arteon,Volkswagen Arteon 4MOTION,Volkswagen Passat,Volkswagen Jetta GLI 35th,Volkswagen Golf R
Volkswagen,Golf R,2.0L Turbo I4,1984 cc,315 hp,250 km/h,4.6 sec,"$44,640 ",Petrol,5,420 Nm,44.0,Volkswagen Arteon Shooting Brake,Volkswagen Golf GTI,Volkswagen Arteon,Volkswagen Passat,Volkswagen Arteon 4MOTION
Volkswagen,Passat Alltrack,2.0L Turbo Diesel I4,1968 cc,190 - 240 hp,220 km/h,7.8 sec,"$36,000 ",Diesel,5,400 Nm,36.0,Volkswagen Golf Variant TDI,Volkswagen Passat Alltrack TDI,Volkswagen Golf 4MOTION,Volkswagen Crafter,Volkswagen Amarok V6
Volkswagen,Polo GTI,2.0L Turbo I4,1984 cc,204 hp,238 km/h,6.7 sec,"$28,000 ",Petrol,5,320 Nm,28.0,Volkswagen Polo GTI Clubsport,Volkswagen Polo GTI Plus,Volkswagen T-Roc,Volkswagen Arteon,Volkswagen Arteon 4MOTION
Volkswagen,Up! GTI,1.0L Turbo I3,999 cc,115 hp,196 km/h,8.8 sec,"$20,000 ",Petrol,4,200 Nm,20.0,Volkswagen Golf TGI,Volkswagen Golf Cabriolet,Volkswagen Golf Cabriolet,Volkswagen Up!,Volkswagen Scirocco
Volkswagen,T-Cross,1.0L Turbo I3 / 1.5L Turbo I4,999 cc / 1498 cc,95 - 150 hp,200 km/h,10.2 sec,"$25,000 ",Petrol,5,250 Nm,25.0,Volkswagen Passat,Volkswagen Golf Sportsvan,Volkswagen Golf,Volkswagen T-Cross R-Line,Volkswagen Jetta
Volkswagen,ID.5,Electric,77 kWh,174 - 299 hp,180 km/h,8.4 sec,"$45,000 ",Electric,5,310 Nm,45.0,Volkswagen ID.4 Pro S,Volkswagen ID.3 GTX,Volkswagen ID.3 Pro,Volkswagen ID.3,Volkswagen ID.4
Volkswagen,ID. Buzz Cargo,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$55,000 ",Electric,3,310 Nm,55.0,Volkswagen ID. Buzz Cargo EV,Volkswagen ID. Buzz Pro,Volkswagen ID. Buzz,Volkswagen ID. Buzz Cargo Pro,Volkswagen ID.4 Pro S
Volkswagen,Touareg R,Plug-in Hybrid V6,2995 cc,462 hp,250 km/h,5.1 sec,"$70,000 ",Hybrid,5,700 Nm,70.0,Porsche Cayenne E-Hybrid,Volkswagen Jetta Hybrid,Volkswagen Golf GTE,Volkswagen Passat Hybrid,Volkswagen Jetta Hybrid
Volkswagen,Multivan,Plug-in Hybrid / Diesel I4,1395 cc / 1968 cc,150 - 218 hp,190 km/h,9.4 sec,"$50,000 ","Petrol, Hybrid",7,350 Nm,50.0,Volkswagen Teramont,Volkswagen Tiguan,Volkswagen Sharan Business,Volkswagen Golf Alltrack,Volkswagen California
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,"$22,000 ",Diesel,5,250 Nm,22.0,Volkswagen Polo BlueMotion,Volkswagen Polo TDI,Volkswagen Golf Variant TDI,Volkswagen Passat Alltrack,BMW 116D ADVANTAGE
Volkswagen,Golf Sportsvan,1.5L Turbo I4,1498 cc,130 - 150 hp,210 km/h,8.9 sec,"$30,000 ",Petrol,5,250 Nm,30.0,Volkswagen Jetta,Volkswagen Taigo,Volkswagen Golf,Volkswagen Passat,Volkswagen Taos
Volkswagen,Golf Alltrack,2.0L Turbo Diesel I4,1968 cc,147 - 200 hp,210 km/h,7.1 sec,"$35,000 ",Petrol,5,350 Nm,35.0,Volkswagen Jetta GLI,Volkswagen Golf GTI,Volkswagen Arteon 4MOTION,Volkswagen Arteon 280 TSI,Volkswagen Arteon
Volkswagen,Scirocco R,2.0L Turbo I4,1984 cc,280 hp,250 km/h,5.5 sec,"$40,000 ",Petrol,4,350 Nm,40.0,Volkswagen Scirocco,Volkswagen Beetle,Volkswagen Golf GTI,Volkswagen Arteon,Volkswagen Arteon 4MOTION
Volkswagen,Tiguan Allspace,2.0L Turbo I4,1984 cc,184 - 230 hp,215 km/h,7.6 sec,"$35,000 ",Petrol,7,320 Nm,35.0,Volkswagen Polo GTI,Volkswagen T-Roc,Volkswagen Passat,Volkswagen Beetle,Volkswagen Sharan
Volkswagen,Arteon 4MOTION,2.0L Turbo I4,1984 cc,190 - 320 hp,250 km/h,5.6 sec,"$48,000 ",Petrol,5,350 Nm,48.0,Volkswagen Arteon,Volkswagen Golf GTI,Volkswagen Arteon 280 TSI,Volkswagen T-Roc,Volkswagen Scirocco R
Volkswagen,ID.4 GTX,Electric AWD,77 kWh,299 hp,180 km/h,6.2 sec,"$50,000 ",Electric,5,460 Nm,50.0,Volkswagen ID.3 GTX,Volkswagen ID.4,Volkswagen Golf Electric,Volkswagen Golf R32,Volkswagen ID.4 Pro S
Volkswagen,ID.3 Pro,Electric,58 kWh,204 hp,160 km/h,7.3 sec,"$35,000 ",Electric,5,310 Nm,35.0,Volkswagen ID.3,Volkswagen ID.3 GTX,Volkswagen ID.4,Volkswagen ID.5,Volkswagen ID.4 Pro S
Volkswagen,Golf Variant,1.5L Turbo I4 / 2.0L Diesel I4,1498 cc / 1968 cc,130 - 150 hp,220 km/h,7.5 sec,"$32,000 ",Petrol,5,320 Nm,32.0,Volkswagen Golf Variant Alltrack,Volkswagen Touareg V6,Volkswagen Polo GTI Plus,Volkswagen Polo GTI Clubsport,Volkswagen T-Roc
Volkswagen,Crafter,2.0L Turbo Diesel I4,1968 cc,102 - 177 hp,160 km/h,13.0 sec,"$40,000 ",Diesel,3,410 Nm,40.0,Volkswagen Passat Alltrack,Volkswagen California,Peugeot Expert L2H1,Volkswagen Sharan Business,Peugeot Expert
Volkswagen,Lupo,1.4L I3 Gas / 1.2L Diesel I3,1390 cc / 1199 cc,60 - 75 hp,170 km/h,14.3 sec,"$15,000 ",Petrol,4,120 Nm,15.0,Volkswagen Up! GTI,Volkswagen Golf R Cabriolet,Volkswagen Up!,Volkswagen Scirocco,Volkswagen Beetle
Volkswagen,Corrado,2.9L VR6,2861 cc,190 hp,235 km/h,6.4 sec,"$25,000 ",Petrol,4,245 Nm,25.0,Volkswagen Beetle,Volkswagen Golf Cabriolet,Volkswagen Up! Cabriolet,Volkswagen Beetle Final Edition,Volkswagen Golf Cabriolet
Volkswagen,Phaeton,3.0L V6 Diesel / 6.0L W12 Gas,2967 cc / 5998 cc,240 - 450 hp,250 km/h,6.1 sec,"$85,000 ",Petrol,5,560 Nm,85.0,Volkswagen Vento,Volkswagen Golf,Volkswagen Golf R32,Volkswagen Passat B7,Volkswagen Taigo
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105 - 210 hp,217 km/h,8.4 sec,"$30,000 ",Petrol,4,200 Nm,30.0,Volkswagen Golf Cabriolet,Volkswagen Up! GTI,Volkswagen Corrado,Volkswagen Scirocco 16V,Volkswagen Lupo
Volkswagen,Santana,1.5L I4 Gas,1498 cc,110 hp,190 km/h,12.9 sec,"$15,000 ",Petrol,5,145 Nm,15.0,Volkswagen Polo GTI R5,Volkswagen Golf Variant,Volkswagen Polo Vivo,Volkswagen Fox,Volkswagen Vento
Volkswagen,Polo Vivo,1.4L I4 Gas / 1.6L I4 Gas,1390 cc / 1598 cc,85 - 105 hp,170 km/h,10.8 sec,"$14,000 ",Petrol,5,132 Nm,14.0,Volkswagen Polo Beats,Volkswagen Taos,Volkswagen T-Cross R-Line,Volkswagen Arteon Shooting Brake,Volkswagen Jetta GLI
Volkswagen,Karmann Ghia,1.2L I4 Gas,1192 cc,34 - 60 hp,138 km/h,23.0 sec,"$25,000 ",Petrol,2,106 Nm,25.0,Volkswagen Up! GTI,Volkswagen ID. Buzz Cargo EV,Jaguar Land Rover Jaguar F-Type R-Dynamic,Jaguar Land Rover Jaguar F-Type V8 R,Nissan Z (Fairlady Z)
Volkswagen,Fox,1.2L I4 Gas / 1.4L I4 Gas,1198 cc / 1390 cc,55 - 75 hp,148 km/h,17.5 sec,"$12,000 ",Petrol,5,93 Nm,12.0,Volkswagen Polo Beats,Volkswagen Golf Variant,Volkswagen Santana,Volkswagen Polo Vivo,Volkswagen Vento
Volkswagen,Vento,1.6L I4 Gas / Diesel,1598 cc,105 - 110 hp,186 km/h,11.7 sec,"$18,000 ",Petrol,5,153 Nm,18.0,Volkswagen Polo Beats,Volkswagen Golf R32,Volkswagen Phaeton,Volkswagen Santana,Volkswagen Polo Vivo
Volkswagen,Golf Electric,Electric,35.8 kWh,136 hp,140 km/h,10.4 sec,"$33,000 ",Electric,5,290 Nm,33.0,Volkswagen ID.4,Volkswagen ID.3 Pro,Volkswagen ID.2,Volkswagen ID.3,Volkswagen ID.3 GTX
Volkswagen,Bora,1.6L I4 Gas / 1.9L I4 Diesel,1598 cc / 1896 cc,100 - 150 hp,200 km/h,9.4 sec,"$20,000 ",Petrol,5,220 Nm,20.0,Volkswagen Golf TCR,Volkswagen T-Roc,Volkswagen Passat B8,Volkswagen Arteon,Volkswagen Polo
Volkswagen,Teramont,2.0L I4 Turbo / 3.6L V6 Gas,1984 cc / 3597 cc,235 - 276 hp,190 km/h,8.6 sec,"$32,000 ",Petrol,7,350 Nm,32.0,Volkswagen Golf Alltrack,GMC Acadia,Volkswagen Jetta GLI 35th,Volkswagen Arteon,Volkswagen Golf GTI
Volkswagen,Taos,1.5L I4 Turbo,1498 cc,158 hp,193 km/h,8.4 sec,"$24,000 ",Petrol,5,250 Nm,24.0,Volkswagen Golf Sportsvan,Volkswagen Jetta,Volkswagen T-Cross R-Line,Volkswagen Passat B8,Volkswagen Golf
Volkswagen,Up! Cabriolet,1.0L I3 Turbo,999 cc,82 - 115 hp,160 km/h,12.4 sec,"$18,000 ",Petrol,4,95 Nm,18.0,Volkswagen Up!,Volkswagen Golf Cabriolet,Volkswagen Polo Beats,Volkswagen Golf R Cabriolet,Volkswagen Scirocco GTS
Volkswagen,T-Roc Cabriolet,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115 - 150 hp,205 km/h,9.6 sec,"$35,000 ",Petrol,4,250 Nm,35.0,Volkswagen Beetle Final Edition,Volkswagen T-Cross R-Line,Volkswagen Beetle Dune,Volkswagen Golf Sportsvan,Volkswagen Lupo
Volkswagen,Passat CC,2.0L I4 Turbo,1984 cc,200 - 280 hp,240 km/h,7.3 sec,"$40,000 ",Petrol,5,280 Nm,40.0,Volkswagen Arteon Shooting Brake,Volkswagen Polo GTI Plus,Volkswagen Jetta GLI 35th,Volkswagen Arteon 280 TSI,Volkswagen Tiguan R-Line
Volkswagen,Transporter,2.0L I4 Turbo Diesel,1968 cc,102 - 204 hp,180 km/h,12.2 sec,"$35,000 ",Diesel,9,340 Nm,35.0,Volkswagen California,Volkswagen Golf TDI,Volkswagen Polo BlueMotion,Volkswagen Polo BlueMotion,BMW 114D
Volkswagen,Amarok V6,3.0L V6 Turbo Diesel,2967 cc,204 - 258 hp,191 km/h,7.9 sec,"$45,000 ",Diesel,5,580 Nm,45.0,Volkswagen Amarok,Volkswagen Amarok V8,Volkswagen Golf TDI,Volkswagen Polo BlueMotion,Volkswagen Polo BlueMotion
Volkswagen,ID.2,Electric,~50 kWh (Estimate),~170 hp,160 km/h,8.0 sec,"$25,000 ",Electric,5,220 Nm,25.0,Volkswagen ID.3 GTX,Volkswagen ID.3,Volkswagen ID.4 Pro S,Volkswagen Golf Electric,Volkswagen ID.3 Pro
Volkswagen,Polo TDI,1.4L I4 Diesel / 1.6L Diesel,1390 cc / 1598 cc,75 - 105 hp,190 km/h,9.9 sec,"$20,000 ",Diesel,5,250 Nm,20.0,Volkswagen Polo BlueMotion,Volkswagen Jetta SportWagen,Volkswagen Jetta Hybrid,Volkswagen Passat B8,Volkswagen Amarok V6
Volkswagen,Golf GTE,Plug-in Hybrid (1.4L I4 Turbo),1395 cc + Electric Motor,204 hp,222 km/h,7.6 sec,"$40,000 ",Hybrid,5,350 Nm,40.0,Volkswagen Jetta Hybrid,Volkswagen Touareg R,Volkswagen Golf TDI,Volkswagen Arteon,TOYOTA CROWN
Volkswagen,Touareg V8,4.0L V8 Turbo Diesel,3956 cc,421 hp,250 km/h,4.9 sec,"$70,000 ",Petrol,5,770 Nm,70.0,Volkswagen Golf 4MOTION,Volkswagen Tiguan R-Line,Volkswagen Golf TCR,Volkswagen Polo GTI,Volkswagen Vento
Volkswagen,Beetle Dune,1.4L I4 Turbo,1395 cc,150 hp,200 km/h,7.5 sec,"$30,000 ",Petrol,4,250 Nm,30.0,Volkswagen T-Roc Cabriolet,Volkswagen Beetle Final Edition,Volkswagen Passat B8,Ford Bronco,Volkswagen T-Cross R-Line
Volkswagen,Passat B8,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150 - 280 hp,210 km/h,8.7 sec,"$28,000 ",Petrol,5,250 Nm,28.0,Volkswagen T-Cross R-Line,Volkswagen Jetta,Volkswagen T-Cross,Volkswagen Jetta SportWagen,Volkswagen Golf
Volkswagen,ID.4 Pro S,Electric,77 kWh,201 hp,180 km/h,7.8 sec,"$45,000 ",Electric,5,310 Nm,45.0,Volkswagen ID.4,Volkswagen ID.3 Pro,Volkswagen ID.5,Volkswagen ID.3,Volkswagen ID.3 GTX
Volkswagen,Golf Cabriolet,1.2L I4 Turbo / 2.0L I4 Turbo,1197 cc / 1984 cc,105 - 210 hp,217 km/h,8.4 sec,"$30,000 ",Petrol,4,200 Nm,30.0,Volkswagen Golf Cabriolet,Volkswagen Up! GTI,Volkswagen Corrado,Volkswagen Scirocco 16V,Volkswagen Lupo
Volkswagen,Golf Country,1.8L I4 Gas,1781 cc,98 hp,165 km/h,12.0 sec,"$25,000 ",Petrol,5,170 Nm,25.0,Volkswagen Polo,Volkswagen Tiguan R-Line,Mazda Eunos 500,Peugeot 301 Sedan,Volkswagen Jetta GLI
Volkswagen,Jetta GLI,2.0L I4 Turbo,1984 cc,228 hp,250 km/h,6.5 sec,"$31,000 ",Petrol,5,350 Nm,31.0,Volkswagen Jetta GLI 35th,Volkswagen Scirocco GTS,Volkswagen Arteon 280 TSI,Volkswagen Golf TCR,Volkswagen Arteon 4MOTION
Volkswagen,Arteon Shooting Brake,2.0L I4 Turbo,1984 cc,150 - 320 hp,250 km/h,5.6 sec,"$50,000 ",Petrol,5,420 Nm,50.0,Volkswagen Arteon R-Line,Volkswagen Tiguan R-Line,Volkswagen Golf TCR,Volkswagen Arteon 280 TSI,Volkswagen Passat CC
Volkswagen,T-Cross R-Line,1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,115 - 150 hp,200 km/h,8.5 sec,"$27,000 ",Petrol,5,250 Nm,27.0,Volkswagen Jetta SportWagen,Volkswagen Golf,Volkswagen Passat B8,Volkswagen Passat B7,Volkswagen Passat Variant
Volkswagen,Golf R32,3.2L VR6,3189 cc,240 hp,250 km/h,6.2 sec,"$40,000 ",Petrol,5,320 Nm,40.0,Volkswagen T-Roc,Volkswagen Polo GTI Plus,Volkswagen Golf Variant Alltrack,Volkswagen Polo GTI,Volkswagen Golf Variant
Volkswagen,Passat B7,1.6L Diesel / 2.0L I4 Turbo,1598 cc / 1984 cc,120 - 240 hp,220 km/h,8.5 sec,"$26,000 ",Petrol,5,280 Nm,26.0,Volkswagen Passat Variant,Volkswagen T-Cross R-Line,Volkswagen Golf,Volkswagen Passat CC,Volkswagen Jetta SportWagen
Volkswagen,Scirocco 16V,1.8L I4 Gas,1781 cc,137 hp,220 km/h,7.1 sec,"$35,000 ",Petrol,4,230 Nm,35.0,Volkswagen Up! GTI,Nissan Silvia S13,Volkswagen Golf R Cabriolet,Volkswagen Scirocco GTS,Volkswagen Golf Country
Volkswagen,Polo BlueMotion,1.2L Diesel I3,1199 cc,75 - 95 hp,190 km/h,10.5 sec,"$20,000 ",Diesel,5,210 Nm,20.0,Volkswagen Polo BlueMotion,Volkswagen Polo TDI,Mitsubishi Triton GLX-R,Volkswagen Volkswagen Lupo 3L,Volkswagen Golf TDI
Volkswagen,Golf Variant GTD,2.0L Diesel I4,1968 cc,184 hp,230 km/h,7.5 sec,"$38,000 ",Diesel,5,380 Nm,38.0,Volkswagen Passat Alltrack TDI,Volkswagen Golf TDI,Volkswagen Golf Variant TDI,Volkswagen Amarok,BMW 118D SPORT LINE
Volkswagen,Polo GTI R5,1.6L Turbocharged Rally Engine,1598 cc,272 hp,200 km/h,4.1 sec,"$45,000 ",Petrol,5,400 Nm,45.0,Volkswagen Golf 4MOTION,Volkswagen Taigo,Acura RDX Technology,Porsche Macan Base,Porsche Macan T
Volkswagen,ID. Buzz Pro,Electric,77 kWh,204 hp,145 km/h,10.2 sec,"$60,000 ",Electric,7,310 Nm,60.0,Volkswagen ID. Buzz,Volkswagen ID. Buzz Cargo,Volkswagen ID. Buzz Cargo EV,Volkswagen ID. Buzz Cargo Pro,Volkswagen ID.3 GTX
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,170 hp,210 km/h,8.6 sec,"$28,000 ",Hybrid,5,250 Nm,28.0,Volkswagen Jetta Hybrid,Volkswagen Passat Hybrid,Volkswagen Tiguan eHybrid,Volkswagen Taos,Volkswagen Golf
Volkswagen,Golf Variant Alltrack,2.0L Diesel I4,1968 cc,150 - 200 hp,220 km/h,7.8 sec,"$35,000 ",Petrol,5,320 Nm,35.0,Jeep Compass,Volkswagen T-Roc,Volkswagen Polo GTI Clubsport,Volkswagen Polo GTI,Volkswagen Golf Variant
Volkswagen,Volkswagen XL1,Plug-in Hybrid (0.8L I2 Diesel),800 cc + Electric Motor,68 hp,160 km/h,11.9 sec,"$150,000 ",Hybrid,2,140 Nm,150.0,Volkswagen Tiguan eHybrid,Acura NSX 3.5L Hybrid Coupe,Volkswagen Up! e-up!,Volkswagen Golf GTE,Volkswagen Karmann Ghia
Volkswagen,Golf TDI,2.0L Diesel I4,1968 cc,150 - 184 hp,220 km/h,8.0 sec,"$28,000 ",Diesel,5,350 Nm,28.0,Volkswagen Golf Variant TDI,Volkswagen Passat Alltrack TDI,Volkswagen Golf Variant GTD,Volkswagen Sharan Business,KIA SPORTAGE X-LINE
Volkswagen,Passat Variant,1.5L I4 Turbo / 2.0L Diesel,1498 cc / 1968 cc,150 - 240 hp,220 km/h,8.5 sec,"$30,000 ",Petrol,5,280 Nm,30.0,Volkswagen Passat B7,Volkswagen T-Cross R-Line,Volkswagen Golf,Volkswagen Passat CC,Volkswagen Jetta SportWagen
Volkswagen,Polo GTI Clubsport,2.0L I4 Turbo,1984 cc,300 hp,240 km/h,6.7 sec,"$30,000 ",Petrol,5,320 Nm,30.0,Volkswagen Polo GTI Plus,Volkswagen Polo GTI,Volkswagen Arteon R-Line,Volkswagen Arteon 280 TSI,Volkswagen Arteon Shooting Brake
Volkswagen,Jetta Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,170 hp,210 km/h,8.6 sec,"$28,000 ",Hybrid,5,250 Nm,28.0,Volkswagen Jetta Hybrid,Volkswagen Tiguan eHybrid,Volkswagen Passat Hybrid,Volkswagen Golf GTE,Volkswagen Passat B8
Volkswagen,ID.3 GTX,Electric,77 kWh,299 hp,180 km/h,6.2 sec,"$45,000 ",Electric,5,310 Nm,45.0,Volkswagen ID.4,Volkswagen ID.3 Pro,Volkswagen ID.4 Pro S,Volkswagen ID.5,Volkswagen ID.3
Volkswagen,Arteon R-Line,2.0L I4 Turbo,1984 cc,190 - 280 hp,250 km/h,5.6 sec,"$50,000 ",Petrol,5,420 Nm,50.0,Volkswagen Arteon Shooting Brake,Volkswagen Tiguan R-Line,Volkswagen Arteon 280 TSI,Volkswagen Golf TCR,Volkswagen Passat CC
Volkswagen,Golf TGI,1.5L I4 CNG,1498 cc,130 hp,220 km/h,8.8 sec,"$30,000 ",Petrol,5,200 Nm,30.0,Volkswagen Taigo,Volkswagen Up! GTI,Volkswagen Polo Beats,Volkswagen Jetta GLI,Volkswagen Arteon Shooting Brake
Volkswagen,Scirocco GTS,2.0L I4 Turbo,1984 cc,220 hp,246 km/h,6.5 sec,"$35,000 ",Petrol,4,350 Nm,35.0,Volkswagen Jetta GLI 35th,Volkswagen Jetta GLI,Volkswagen Golf R Cabriolet,Volkswagen Beetle Final Edition,Volkswagen Arteon 280 TSI
Volkswagen,Caddy Maxi,2.0L Diesel I4,1968 cc,122 - 150 hp,180 km/h,12.0 sec,"$25,000 ",Diesel,7,250 Nm,25.0,Volkswagen Sharan Business,Volkswagen Golf TDI,Nissan Patrol Y60,Volkswagen Caddy,Volkswagen Passat Alltrack TDI
Volkswagen,Volkswagen Lupo 3L,1.2L Diesel I3,1199 cc,61 hp,165 km/h,14.5 sec,"$20,000 ",Diesel,4,140 Nm,20.0,Volkswagen Polo BlueMotion,Volkswagen Polo BlueMotion,Volkswagen Beetle Final Edition,Volkswagen Lupo,Volkswagen Passat Alltrack
Volkswagen,Polo Beats,1.0L I3 Turbo,999 cc,95 hp,187 km/h,9.5 sec,"$22,000 ",Petrol,5,175 Nm,22.0,Volkswagen Polo,Volkswagen Tiguan R-Line,Volkswagen Passat,Volkswagen Golf,Volkswagen Golf R32
Volkswagen,Passat Hybrid,1.4L I4 Turbo + Electric Motor,1395 cc,215 hp,210 km/h,7.4 sec,"$32,000 ",Hybrid,5,330 Nm,32.0,Volkswagen Jetta Hybrid,Volkswagen Jetta Hybrid,Volkswagen Tiguan eHybrid,Volkswagen Amarok V8,Nissan Qashqai e-Power
Volkswagen,Golf TCR,2.0L I4 Turbo,1984 cc,290 hp,250 km/h,5.6 sec,"$40,000 ",Petrol,5,370 Nm,40.0,Volkswagen Arteon Shooting Brake,Volkswagen Arteon 280 TSI,Volkswagen Arteon R-Line,Volkswagen Polo GTI Clubsport,Volkswagen Jetta GLI
Volkswagen,Tiguan R-Line,2.0L I4 Turbo,1984 cc,190 - 230 hp,250 km/h,4.9 sec,"$45,000 ",Petrol,5,420 Nm,45.0,Volkswagen Arteon R-Line,Volkswagen Arteon Shooting Brake,Volkswagen Golf TCR,Volkswagen Passat CC,Volkswagen Polo GTI Clubsport
Volkswagen,Sharan Business,2.0L Diesel I4,1968 cc,150 - 184 hp,200 km/h,8.3 sec,"$35,000 ",Diesel,7,350 Nm,35.0,Volkswagen Caddy Maxi,Volkswagen Golf TDI,Volkswagen Golf Variant TDI,Volkswagen Passat Alltrack TDI,Volkswagen Multivan
